Date,Article,Price,Parking,Rooms,Meters,Floor,Sqmp
04-11-2020,89157146,950,0,3,53.0,1,17.92
04-11-2020,88881077,1050,0,2,75.0,3,14.0
04-11-2020,37548999,1100,0,3,78.0,0,14.1
04-11-2020,89018846,1200,0,4,85.0,4,14.12
04-11-2020,89156201,810,0,3,68.0,2,11.91
04-11-2020,89033376,1150,0,3,65.0,0,17.69
04-11-2020,31471096,1050,0,3,75.0,5,14.0
04-11-2020,89058056,1100,0,3,85.0,2,12.94
04-11-2020,89155744,1200,0,2,55.0,5,21.82
04-11-2020,89058154,1000,0,3,70.0,2,14.29
04-11-2020,86364857,1100,0,3,67.0,5,16.42
04-11-2020,89146975,850,0,3,85.0,3,10.0
04-11-2020,84648537,1200,0,2,65.0,4,18.46
04-11-2020,88991319,1100,0,2,70.0,1,15.71
04-11-2020,88197852,1100,0,3,150.0,0,7.33
04-11-2020,39923316,1095,0,2,71.0,2,15.42
04-11-2020,89155219,1000,0,3,60.0,3,16.67
04-11-2020,25255152,1000,0,2,53.0,3,18.87
04-11-2020,89155109,950,0,2,55.0,3,17.27
04-11-2020,87800848,850,0,2,67.0,3,12.69
04-11-2020,89153675,1100,0,3,60.0,3,18.33
04-11-2020,39372073,950,0,2,80.0,3,11.88
04-11-2020,89153999,875,0,2,60.0,3,14.58
04-11-2020,89122012,1000,0,2,70.0,1,14.29
04-11-2020,89153987,1200,0,2,58.0,1,20.69
04-11-2020,39423848,950,0,2,45.0,4,21.11
04-11-2020,89153973,900,0,2,45.0,4,20.0
04-11-2020,85969278,1090,0,2,62.0,2,17.58
04-11-2020,89153893,1000,0,2,81.0,4,12.35
04-11-2020,85985033,1150,0,2,62.0,5,18.55
04-11-2020,89153713,1050,0,3,65.0,3,16.15
04-11-2020,86952560,1090,0,2,50.0,1,21.8
04-11-2020,89153725,1100,0,2,70.0,1,15.71
04-11-2020,86812016,1090,0,2,50.0,4,21.8
04-11-2020,89153489,1200,0,2,58.0,8,20.69
04-11-2020,87440588,995,0,2,52.0,3,19.13
04-11-2020,87023019,1040,0,2,65.0,3,16.0
04-11-2020,85985011,1090,0,2,62.0,2,17.58
04-11-2020,89153214,1200,0,3,86.0,3,13.95
04-11-2020,85860786,1200,0,2,70.0,5,17.14
04-11-2020,89153171,1000,0,2,50.0,3,20.0
04-11-2020,85860707,1050,0,2,65.0,5,16.15
04-11-2020,89153117,1200,0,2,75.0,4,16.0
04-11-2020,87159783,1150,0,2,60.0,1,19.17
04-11-2020,89153045,950,0,2,63.0,3,15.08
04-11-2020,85952743,1090,0,2,65.0,1,16.77
04-11-2020,89152957,1050,0,2,70.0,3,15.0
04-11-2020,89152970,1200,0,2,65.0,2,18.46
04-11-2020,89152921,1200,0,2,65.0,3,18.46
04-11-2020,89152892,1200,0,2,89.0,8,13.48
04-11-2020,89152896,1100,0,3,65.0,5,16.92
04-11-2020,89152634,1000,0,2,60.0,0,16.67
04-11-2020,89152652,1200,0,3,85.0,1,14.12
04-11-2020,89152655,950,0,2,70.0,4,13.57
04-11-2020,89152640,1200,0,3,70.0,4,17.14
04-11-2020,29142137,1000,0,2,52.0,0,19.23
04-11-2020,89151775,1150,0,2,75.0,3,15.33
04-11-2020,89151516,950,0,2,60.0,4,15.83
04-11-2020,86370743,925,0,3,80.0,2,11.56
04-11-2020,89149206,1200,1,2,58.0,1,20.69
04-11-2020,89147417,1200,0,3,80.0,1,15.0
04-11-2020,89147382,1000,0,2,50.0,2,20.0
04-11-2020,89147365,1150,0,3,90.0,2,12.78
04-11-2020,89147107,1200,0,3,68.0,6,17.65
04-11-2020,89147070,1100,0,2,48.0,1,22.92
04-11-2020,89147028,1050,0,2,70.0,3,15.0
04-11-2020,89146707,1100,0,2,47.0,1,23.4
04-11-2020,89146599,1150,1,3,80.0,4,14.38
04-11-2020,89146457,1050,1,3,95.0,3,11.05
04-11-2020,89146249,1100,0,2,60.0,4,18.33
04-11-2020,89146159,850,0,2,55.0,4,15.45
04-11-2020,89144908,950,0,2,60.0,2,15.83
04-11-2020,89144040,1150,0,2,67.0,3,17.16
04-11-2020,89143958,1200,0,2,61.0,3,19.67
04-11-2020,89143952,1200,0,2,45.0,4,26.67
04-11-2020,89141860,1200,0,2,100.0,2,12.0
04-11-2020,89140527,850,0,2,55.0,1,15.45
04-11-2020,89136219,1150,0,3,120.0,0,9.58
04-11-2020,89136202,1200,0,3,89.0,1,13.48
04-11-2020,89134245,1100,0,3,80.0,0,13.75
04-11-2020,89134189,1040,0,3,65.0,5,16.0
04-11-2020,89134166,1150,0,2,89.0,3,12.92
04-11-2020,89134118,1040,0,3,65.0,5,16.0
04-11-2020,89134032,805,0,2,65.0,4,12.38
04-11-2020,89132452,1100,0,3,65.0,1,16.92
04-11-2020,89133021,1200,0,3,65.0,3,18.46
04-11-2020,89133149,1200,0,2,55.0,1,21.82
04-11-2020,86226039,1200,0,2,68.0,1,17.65
04-11-2020,37426265,950,0,2,65.0,3,14.62
04-11-2020,89118105,850,0,3,60.0,1,14.17
04-11-2020,89117332,1100,0,2,65.0,4,16.92
04-11-2020,89111796,900,0,2,56.0,2,16.07
04-11-2020,89110968,1000,0,3,80.0,1,12.5
04-11-2020,89109813,1114,0,2,56.0,1,19.89
04-11-2020,89104855,1100,0,3,78.0,0,14.1
04-11-2020,89071413,1200,0,3,70.0,6,17.14
04-11-2020,89117482,900,0,2,62.0,2,14.52
04-11-2020,88481650,1200,0,4,93.0,1,12.9
04-11-2020,85251165,1100,0,2,60.0,6,18.33
04-11-2020,87532161,1050,1,2,65.0,10,16.15
04-11-2020,88825371,1000,0,2,78.0,2,12.82
04-11-2020,88069628,1100,0,2,83.0,1,13.25
04-11-2020,88798654,1000,0,3,71.0,5,14.08
04-11-2020,86313044,1000,0,3,100.0,1,10.0
04-11-2020,88758452,1190,0,2,89.0,0,13.37
04-11-2020,89148261,1150,1,3,100.0,3,11.5
04-11-2020,89147723,1050,1,2,60.0,4,17.5
04-11-2020,89147709,1150,1,3,80.0,0,14.38
04-11-2020,89139756,1050,0,3,63.0,1,16.67
04-11-2020,31480792,1000,0,2,75.0,2,13.33
04-11-2020,85860967,1200,0,2,70.0,4,17.14
04-11-2020,84815028,1100,0,2,100.0,4,11.0
04-11-2020,32954828,900,0,2,60.0,1,15.0
04-11-2020,88980790,1200,0,2,77.0,3,15.58
04-11-2020,83218274,1000,0,2,52.0,1,19.23
04-11-2020,87969585,999,0,2,70.0,1,14.27
04-11-2020,88838804,1200,0,3,108.0,0,11.11
04-11-2020,89150355,1100,0,2,60.0,3,18.33
04-11-2020,89082146,1100,0,2,55.0,3,20.0
04-11-2020,88996508,975,0,2,60.0,2,16.25
04-11-2020,88843056,1150,0,2,76.0,3,15.13
04-11-2020,34260460,1200,0,2,70.0,0,17.14
04-11-2020,89002518,1100,0,2,58.0,4,18.97
04-11-2020,89149270,1200,0,3,72.0,9,16.67
04-11-2020,89148256,1200,0,2,69.0,5,17.39
04-11-2020,89147721,1000,1,2,60.0,1,16.67
04-11-2020,89147711,1000,1,2,60.0,1,16.67
04-11-2020,89146287,1200,0,2,90.0,0,13.33
04-11-2020,89142081,1200,0,3,108.0,7,11.11
04-11-2020,87020695,1000,0,2,60.0,1,16.67
04-11-2020,89131376,1200,0,2,70.0,4,17.14
04-11-2020,89116642,1150,0,3,52.0,4,22.12
04-11-2020,89095767,950,0,2,42.0,2,22.62
04-11-2020,89075801,1200,0,2,50.0,9,24.0
04-11-2020,89065473,1200,0,2,55.0,3,21.82
04-11-2020,89053341,850,0,3,84.0,1,10.12
04-11-2020,82715673,1000,0,2,55.0,4,18.18
04-11-2020,85860499,1050,0,2,65.0,4,16.15
04-11-2020,88952675,1200,0,2,80.0,4,15.0
04-11-2020,88951800,1150,0,3,80.0,10,14.38
04-11-2020,84634635,1052,0,2,101.0,3,10.42
04-11-2020,89146334,890,0,2,60.0,4,14.83
04-11-2020,89113718,1200,0,2,60.0,1,20.0
04-11-2020,88888241,1200,0,2,98.0,1,12.24
04-11-2020,88857740,1200,0,2,61.0,1,19.67
04-11-2020,85544118,820,0,3,46.0,2,17.83
04-11-2020,87622825,1200,0,2,57.0,4,21.05
04-11-2020,39745105,1000,0,3,70.0,4,14.29
04-11-2020,89152642,1200,0,2,110.0,4,10.91
04-11-2020,88852281,1000,0,2,60.0,0,16.67
04-11-2020,88655179,1200,0,2,62.0,0,19.35
04-11-2020,88635321,975,0,3,60.0,2,16.25
04-11-2020,88129920,1200,0,2,70.0,2,17.14
04-11-2020,87266631,1200,0,4,134.0,1,8.96
04-11-2020,89147014,890,0,2,45.0,1,19.78
04-11-2020,81524894,1200,0,3,90.0,5,13.33
04-11-2020,89138280,800,0,3,65.0,0,12.31
04-11-2020,88952240,950,0,2,55.0,0,17.27
04-11-2020,88951985,1200,0,4,85.0,2,14.12
04-11-2020,88871191,1150,0,3,80.0,10,14.38
04-11-2020,88827849,1200,0,4,85.0,2,14.12
04-11-2020,88827774,1200,0,2,80.0,4,15.0
04-11-2020,88760505,1150,0,3,80.0,10,14.38
04-11-2020,89140919,1000,1,2,69.0,4,14.49
04-11-2020,89070224,1150,0,2,70.0,1,16.43
04-11-2020,89067448,1200,0,2,105.0,2,11.43
04-11-2020,84576723,1100,0,2,120.0,1,9.17
04-11-2020,89005168,980,0,3,66.0,2,14.85
04-11-2020,86871269,990,0,2,46.0,1,21.52
04-11-2020,89083038,1100,0,2,65.0,0,16.92
04-11-2020,89027790,980,0,2,56.0,0,17.5
04-11-2020,40428360,1100,0,4,80.0,3,13.75
04-11-2020,28333130,725,0,2,48.0,0,15.1
04-11-2020,86810024,900,0,3,73.0,2,12.33
04-11-2020,89006806,1200,0,2,65.0,5,18.46
04-11-2020,89007037,1050,0,3,80.0,2,13.12
04-11-2020,88635882,1200,0,2,61.0,1,19.67
04-11-2020,89131776,1000,0,3,45.0,2,22.22
04-11-2020,89085748,999,0,2,70.0,1,14.27
04-11-2020,89024254,700,0,2,65.0,3,10.77
04-11-2020,89011630,700,0,2,64.0,3,10.94
04-11-2020,89002614,820,0,3,70.0,0,11.71
04-11-2020,88994753,1150,0,2,65.0,0,17.69
04-11-2020,88964322,1200,0,2,62.0,1,19.35
04-11-2020,88933270,1200,0,3,70.0,4,17.14
04-11-2020,83552247,1000,0,2,65.0,4,15.38
04-11-2020,89124836,950,0,2,60.0,1,15.83
04-11-2020,82901628,1200,0,2,60.0,1,20.0
04-11-2020,89053047,1120,0,2,70.0,3,16.0
04-11-2020,89040910,1080,0,2,62.0,5,17.42
04-11-2020,88965134,890,0,2,55.0,3,16.18
04-11-2020,88962517,1100,0,3,80.0,1,13.75
04-11-2020,88917780,1190,0,2,57.0,4,20.88
04-11-2020,89065645,1000,0,4,62.0,5,16.13
04-11-2020,88886627,990,0,2,59.0,2,16.78
04-11-2020,88112825,1200,0,3,80.0,3,15.0
04-11-2020,88244372,1200,0,2,52.0,4,23.08
04-11-2020,88196898,1000,0,3,70.0,3,14.29
04-11-2020,85250440,1033,1,2,60.0,4,17.22
